2026-04-11 15:45:18 | Args: {'train_csv': '/projectnb/medaihack/ABPET/data/train.csv', 'val_csv': '/projectnb/medaihack/ABPET/data/val.csv', 'epochs': 100, 'batch_size': 2, 'lr': 4e-05, 'num_workers': 4, 'resnet_depth': 18, 'embed_dim': 64, 'dropout': 0.5, 'checkpoint_dir': 'checkpoints', 'cache': False, 'loss': 'mae', 'patience': 15, 'max_grad_norm': 1.0, 'scheduler': 'plateau', 'lr_factor': 0.5, 'lr_patience': 2, 'lr_cooldown': 0, 'min_lr': 1e-08, 'compile': False, 'log_dir': 'logs', 'results_dir': 'results'}
2026-04-11 15:45:18 | Device: cuda
2026-04-11 15:45:19 | Model parameters: 33,433,409
2026-04-11 15:45:19 | ResNet depth: 18
2026-04-11 16:06:20 | Epoch  68/100 | Loss: 5.5659 | MAE: 8.48 CL | r: 0.9578 | LR: 1.95e-08 | 18.6s | ES patience: 0/15 [*]
2026-04-11 16:06:39 | Epoch  69/100 | Loss: 5.4778 | MAE: 8.70 CL | r: 0.9573 | LR: 1.95e-08 | 18.4s | ES patience: 1/15
2026-04-11 16:06:57 | Epoch  70/100 | Loss: 5.5131 | MAE: 8.48 CL | r: 0.9587 | LR: 1.95e-08 | 18.4s | ES patience: 2/15
2026-04-11 16:07:15 | Epoch  71/100 | Loss: 5.4327 | MAE: 8.56 CL | r: 0.9571 | LR: 1.95e-08 | 18.4s | ES patience: 3/15
2026-04-11 16:07:34 | Epoch  72/100 | Loss: 5.4992 | MAE: 8.63 CL | r: 0.9585 | LR: 1.95e-08 | 18.4s | ES patience: 4/15
2026-04-11 16:07:52 | Epoch  73/100 | Loss: 5.3510 | MAE: 8.58 CL | r: 0.9576 | LR: 1.95e-08 | 18.3s | ES patience: 5/15
2026-04-11 16:08:10 | Epoch  74/100 | Loss: 5.4597 | MAE: 8.49 CL | r: 0.9575 | LR: 1.95e-08 | 18.3s | ES patience: 6/15
2026-04-11 16:08:29 | Epoch  75/100 | Loss: 5.4596 | MAE: 8.51 CL | r: 0.9579 | LR: 1.95e-08 | 18.4s | ES patience: 7/15
2026-04-11 16:08:47 | Epoch  76/100 | Loss: 5.3963 | MAE: 8.58 CL | r: 0.9586 | LR: 1.95e-08 | 18.5s | ES patience: 8/15
2026-04-11 16:09:06 | Epoch  77/100 | Loss: 5.4439 | MAE: 8.54 CL | r: 0.9583 | LR: 1.95e-08 | 18.5s | ES patience: 9/15
